@relation csv_augmentConstructedFeatures

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute constFeature numeric
@attribute class {1, 2, 3}

@data
3,2,1,5,1.2,1
3,2,2,1,3,1
3,2,2,2,1.5,1
3,2,2,3,1,2
3,2,2,4,0.75,3
3,2,2,5,0.6,3
3,2,3,1,2,1
3,2,3,2,1,2
3,2,3,3,0.666667,3
3,2,3,4,0.5,3
3,2,3,5,0.4,3
3,2,4,1,1.5,1
3,2,4,2,0.75,3
3,2,4,3,0.5,3
3,2,4,4,0.375,3
3,2,4,5,0.3,3
3,2,5,1,1.2,1
3,2,5,2,0.6,3
3,2,5,3,0.4,3
3,2,5,4,0.3,3
3,2,5,5,0.24,3
3,3,1,1,9,1
3,3,1,2,4.5,1
3,3,1,3,3,1
3,3,1,4,2.25,1
3,3,1,5,1.8,1
3,3,2,1,4.5,1
3,3,2,2,2.25,1
3,3,2,3,1.5,1
3,3,2,4,1.125,1
3,3,2,5,0.9,3
3,3,3,1,3,1
3,3,3,2,1.5,1
3,3,3,3,1,2
3,3,3,4,0.75,3
3,3,3,5,0.6,3
3,3,4,1,2.25,1
3,3,4,2,1.125,1
3,3,4,3,0.75,3
3,3,4,4,0.5625,3
3,3,4,5,0.45,3
3,3,5,1,1.8,1
3,3,5,2,0.9,3
3,3,5,3,0.6,3
3,3,5,4,0.45,3
3,3,5,5,0.36,3
3,4,1,1,12,1
3,4,1,2,6,1
3,4,1,3,4,1
3,4,1,4,3,1
3,4,1,5,2.4,1
3,4,2,1,6,1
3,4,2,2,3,1
3,4,2,3,2,1
3,4,2,4,1.5,1
3,4,2,5,1.2,1
3,4,3,1,4,1
3,4,3,2,2,1
3,4,3,3,1.333333,1
3,4,3,4,1,2
3,4,3,5,0.8,3
3,4,4,1,3,1
3,4,4,2,1.5,1
3,4,4,3,1,2
3,4,4,4,0.75,3
3,4,4,5,0.6,3
3,4,5,1,2.4,1
3,4,5,2,1.2,1
3,4,5,3,0.8,3
3,4,5,4,0.6,3
3,4,5,5,0.48,3
3,5,1,1,15,1
3,5,1,2,7.5,1
3,5,1,3,5,1
3,5,1,4,3.75,1
3,5,1,5,3,1
3,5,2,1,7.5,1
3,5,2,2,3.75,1
3,5,2,3,2.5,1
3,5,2,4,1.875,1
3,5,2,5,1.5,1
3,5,3,1,5,1
3,5,3,2,2.5,1
3,5,3,3,1.666667,1
3,5,3,4,1.25,1
3,5,3,5,1,2
3,5,4,1,3.75,1
3,5,4,2,1.875,1
3,5,4,3,1.25,1
3,5,4,4,0.9375,3
3,5,4,5,0.75,3
3,5,5,1,3,1
3,5,5,2,1.5,1
3,5,5,3,1,2
3,5,5,4,0.75,3
3,5,5,5,0.6,3
4,1,1,1,4,1
4,1,1,2,2,1
4,1,1,3,1.333333,1
4,1,1,4,1,2
4,1,1,5,0.8,3
4,1,2,1,2,1
4,1,2,2,1,2
4,1,2,3,0.666667,3
4,1,2,4,0.5,3
4,1,2,5,0.4,3
4,1,3,1,1.333333,1
4,1,3,2,0.666667,3
4,1,3,3,0.444444,3
4,1,3,4,0.333333,3
4,1,3,5,0.266667,3
4,1,4,1,1,2
4,1,4,2,0.5,3
4,1,4,3,0.333333,3
4,1,4,4,0.25,3
4,1,4,5,0.2,3
4,1,5,1,0.8,3
4,1,5,2,0.4,3
4,1,5,3,0.266667,3
4,1,5,4,0.2,3
4,1,5,5,0.16,3
4,2,1,1,8,1
4,2,1,2,4,1
4,2,1,3,2.666667,1
4,2,1,4,2,1
4,2,1,5,1.6,1
4,2,2,1,4,1
4,2,2,2,2,1
4,2,2,3,1.333333,1
4,2,2,4,1,2
4,2,2,5,0.8,3
4,2,3,1,2.666667,1
4,2,3,2,1.333333,1
4,2,3,3,0.888889,3
4,2,3,4,0.666667,3
4,2,3,5,0.533333,3
4,2,4,1,2,1
4,2,4,2,1,2
4,2,4,3,0.666667,3
4,2,4,4,0.5,3
4,2,4,5,0.4,3
4,2,5,1,1.6,1
4,2,5,2,0.8,3
4,2,5,3,0.533333,3
4,2,5,4,0.4,3
4,2,5,5,0.32,3
4,3,1,1,12,1
4,3,1,2,6,1
4,3,1,3,4,1
4,3,1,4,3,1
4,3,1,5,2.4,1
4,3,2,1,6,1
4,3,2,2,3,1
4,3,2,3,2,1
4,3,2,4,1.5,1
4,3,2,5,1.2,1
4,3,3,1,4,1
4,3,3,2,2,1
4,3,3,3,1.333333,1
4,3,3,4,1,2
4,3,3,5,0.8,3
4,3,4,1,3,1
4,3,4,2,1.5,1
4,3,4,3,1,2
4,3,4,4,0.75,3
4,3,4,5,0.6,3
4,3,5,1,2.4,1
4,3,5,2,1.2,1
4,3,5,3,0.8,3
4,3,5,4,0.6,3
4,3,5,5,0.48,3
4,4,1,1,16,1
4,4,1,2,8,1
4,4,1,3,5.333333,1
4,4,1,4,4,1
4,4,1,5,3.2,1
4,4,2,1,8,1
4,4,2,2,4,1
4,4,2,3,2.666667,1
4,4,2,4,2,1
4,4,2,5,1.6,1
4,4,3,1,5.333333,1
4,4,3,2,2.666667,1
4,4,3,3,1.777778,1
4,4,3,4,1.333333,1
4,4,3,5,1.066667,1
4,4,4,1,4,1
4,4,4,2,2,1
4,4,4,3,1.333333,1
4,4,4,4,1,2
4,4,4,5,0.8,3
4,4,5,1,3.2,1
4,4,5,2,1.6,1
4,4,5,3,1.066667,1
4,4,5,4,0.8,3
4,4,5,5,0.64,3
4,5,1,1,20,1
4,5,1,2,10,1
4,5,1,3,6.666667,1
4,5,1,4,5,1
4,5,1,5,4,1
4,5,2,1,10,1
4,5,2,2,5,1
4,5,2,3,3.333333,1
4,5,2,4,2.5,1
4,5,2,5,2,1
4,5,3,1,6.666667,1
4,5,3,2,3.333333,1
4,5,3,3,2.222222,1
4,5,3,4,1.666667,1
4,5,3,5,1.333333,1
4,5,4,1,5,1
4,5,4,2,2.5,1
4,5,4,3,1.666667,1
4,5,4,4,1.25,1
4,5,4,5,1,2
4,5,5,1,4,1
4,5,5,2,2,1
4,5,5,3,1.333333,1
4,5,5,4,1,2
4,5,5,5,0.8,3
5,1,1,1,5,1
5,1,1,2,2.5,1
5,1,1,3,1.666667,1
5,1,1,4,1.25,1
5,1,1,5,1,2
5,1,2,1,2.5,1
5,1,2,2,1.25,1
5,1,2,3,0.833333,3
5,1,2,4,0.625,3
5,1,2,5,0.5,3
5,1,3,1,1.666667,1
5,1,3,2,0.833333,3
5,1,3,3,0.555556,3
5,1,3,4,0.416667,3
5,1,3,5,0.333333,3
5,1,4,1,1.25,1
5,1,4,2,0.625,3
5,1,4,3,0.416667,3
5,1,4,4,0.3125,3
5,1,4,5,0.25,3
5,1,5,1,1,2
5,1,5,2,0.5,3
5,1,5,3,0.333333,3
5,1,5,4,0.25,3
5,1,5,5,0.2,3
5,2,1,1,10,1
5,2,1,2,5,1
5,2,1,3,3.333333,1
5,2,1,4,2.5,1
5,2,1,5,2,1
5,2,2,1,5,1
5,2,2,2,2.5,1
5,2,2,3,1.666667,1
5,2,2,4,1.25,1
5,2,2,5,1,2
5,2,3,1,3.333333,1
5,2,3,2,1.666667,1
5,2,3,3,1.111111,1
5,2,3,4,0.833333,3
5,2,3,5,0.666667,3
5,2,4,1,2.5,1
5,2,4,2,1.25,1
5,2,4,3,0.833333,3
5,2,4,4,0.625,3
5,2,4,5,0.5,3
5,2,5,1,2,1
5,2,5,2,1,2
5,2,5,3,0.666667,3
5,2,5,4,0.5,3
5,2,5,5,0.4,3
5,3,1,1,15,1
5,3,1,2,7.5,1
5,3,1,3,5,1
5,3,1,4,3.75,1
5,3,1,5,3,1
5,3,2,1,7.5,1
5,3,2,2,3.75,1
5,3,2,3,2.5,1
5,3,2,4,1.875,1
5,3,2,5,1.5,1
5,3,3,1,5,1
5,3,3,2,2.5,1
5,3,3,3,1.666667,1
5,3,3,4,1.25,1
5,3,3,5,1,2
5,3,4,1,3.75,1
5,3,4,2,1.875,1
5,3,4,3,1.25,1
5,3,4,4,0.9375,3
5,3,4,5,0.75,3
5,3,5,1,3,1
5,3,5,2,1.5,1
5,3,5,3,1,2
5,3,5,4,0.75,3
5,3,5,5,0.6,3
5,4,1,1,20,1
5,4,1,2,10,1
5,4,1,3,6.666667,1
5,4,1,4,5,1
5,4,1,5,4,1
5,4,2,1,10,1
5,4,2,2,5,1
5,4,2,3,3.333333,1
5,4,2,4,2.5,1
5,4,2,5,2,1
5,4,3,1,6.666667,1
5,4,3,2,3.333333,1
5,4,3,3,2.222222,1
5,4,3,4,1.666667,1
5,4,3,5,1.333333,1
5,4,4,1,5,1
5,4,4,2,2.5,1
5,4,4,3,1.666667,1
5,4,4,4,1.25,1
5,4,4,5,1,2
5,4,5,1,4,1
5,4,5,2,2,1
5,4,5,3,1.333333,1
5,4,5,4,1,2
5,4,5,5,0.8,3
5,5,1,1,25,1
5,5,1,2,12.5,1
5,5,1,3,8.333333,1
5,5,1,4,6.25,1
5,5,1,5,5,1
5,5,2,1,12.5,1
5,5,2,2,6.25,1
5,5,2,3,4.166667,1
5,5,2,4,3.125,1
5,5,2,5,2.5,1
5,5,3,1,8.333333,1
5,5,3,2,4.166667,1
5,5,3,3,2.777778,1
5,5,3,4,2.083333,1
5,5,3,5,1.666667,1
5,5,4,1,6.25,1
5,5,4,2,3.125,1
5,5,4,3,2.083333,1
5,5,4,4,1.5625,1
5,5,4,5,1.25,1
5,5,5,1,5,1
5,5,5,2,2.5,1
5,5,5,3,1.666667,1
5,5,5,4,1.25,1
5,5,5,5,1,2
