@relation csv_constructedFeatureAndTerminalFeatures

@attribute feature1 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature7 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute constFeature numeric
@attribute class {1, 2, 3}

@data
12.37,19.6,78,2,1.12,3.48,3.48,9.257239,2
13.34,17,110,1.3,1.02,1.93,1.93,5.224994,2
12.21,16.8,151,1.28,1.28,3.07,3.07,8.896453,2
12.29,20.4,103,1.02,0.906,1.82,1.82,-12.53319,2
13.86,25,86,2.86,1.36,3.16,3.16,10.275587,2
13.49,24,87,1.84,0.98,2.78,2.78,6.437196,2
12.99,30,139,2.89,1.31,3.5,3.5,9.781471,2
11.96,21,101,2.14,0.99,3.13,3.13,8.926285,2
11.66,16,97,1.57,1.23,2.14,2.14,6.689227,2
13.03,16,86,2.03,1.19,2.48,2.48,9.96083,2
11.84,18,112,1.32,0.96,2.52,2.52,6.174015,2
12.33,14.8,136,1.85,1.06,2.31,2.31,9.964795,2
12.7,23,101,2.55,1.19,3.13,3.13,9.618993,2
12,19,86,2.26,1.38,3.12,3.12,9.015882,2
12.72,18.8,86,2.53,1.16,3.14,3.14,10.335737,2
12.08,24,78,1.58,1.31,2.72,2.72,1.174068,2
13.05,22.5,85,1.59,0.84,2.01,2.01,-0.910255,2
11.84,18,94,2.21,0.79,3.08,3.08,9.710929,2
12.67,18,99,1.94,1.23,3.16,3.16,9.87251,2
12.16,22.8,90,1.69,1.33,2.26,2.26,1.802412,2
11.65,26,88,1.61,1.36,3.21,3.21,2.812171,2
11.64,21.6,84,1.69,1,2.75,2.75,5.085523,2
12.08,23.6,70,1.59,1.07,3.21,3.21,3.801687,2
12.08,18.5,81,1.5,1.08,2.27,2.27,4.257888,2
12,22,86,1.25,1.05,2.65,2.65,-0.333863,2
12.69,20.7,80,1.46,0.96,2.06,2.06,-0.526907,2
12.29,18,88,2.25,1.15,3.3,3.3,9.937896,2
11.62,18,98,2.26,1.16,2.96,2.96,9.130185,2
12.47,19,162,2.27,1.16,2.63,2.63,10.122093,2
11.81,21.5,134,0.99,0.95,2.26,2.26,-3.955739,2
12.29,16,85,2.5,1.23,2.74,2.74,10.033025,2
12.37,18.5,88,3.75,1.04,2.77,2.77,10.663177,2
12.29,18,88,2.99,1.42,2.83,2.83,9.944408,2
12.08,17.5,97,2.17,1.27,2.96,2.96,9.470818,2
12.6,18.5,88,1.36,1.04,2.77,2.77,6.490149,2
12.34,21,98,2.11,0.8,3.38,3.38,9.682052,2
11.82,19.5,86,1.64,0.94,2.44,2.44,5.495591,2
12.51,20.5,85,1.92,1.04,3.57,3.57,9.312734,2
12.42,22,90,1.84,0.86,3.3,3.3,8.351057,2
12.25,19,80,2.03,1,3.17,3.17,9.179572,2
12.72,22.5,84,1.76,0.88,2.42,2.42,4.364983,2
12.22,19,92,2.04,0.86,3.02,3.02,9.395741,2
11.61,20,94,2.92,0.96,3.26,3.26,9.710793,2
11.46,19.5,107,2.58,0.75,2.81,2.81,9.391537,2
12.52,21,88,2.27,0.9,2.78,2.78,8.977385,2
11.76,20,103,2.03,1.23,2.5,2.5,7.514352,2
11.41,21,88,2.01,1.1,2.31,2.31,5.428434,2
12.08,22.5,84,2.29,0.93,3.19,3.19,8.608934,2
11.03,21.5,85,2.17,1.71,2.87,2.87,6.305515,2
11.82,20.8,86,1.6,0.95,3.33,3.33,7.183934,2
12.42,22.5,108,2.09,1.06,2.96,2.96,8.604199,2
12.77,16,80,1.25,0.7,2.12,2.12,4.779149,2
12,19,87,1.64,0.93,3.05,3.05,7.918958,2
11.45,20,96,2.79,0.8,3.39,3.39,9.71844,2
11.56,28.5,119,5.08,0.93,3.69,3.69,10.076385,2
12.42,26.5,102,2.13,0.92,3.12,3.12,7.368868,2
13.05,21.5,86,2.65,0.73,3.1,3.1,10.607614,2
11.87,21,82,3.03,0.75,3.64,3.64,10.191555,2
12.07,21,85,2.65,0.86,3.28,3.28,9.767886,2
12.43,21.5,86,3.15,0.69,2.84,2.84,10.296027,2
11.79,28.5,92,2.24,0.97,2.44,2.44,2.396917,2
12.37,24.5,88,2.45,0.89,2.78,2.78,7.877584,2
12.04,22,80,1.75,0.79,2.57,2.57,4.669851,2
12.86,18,122,1.25,0.76,1.29,1.29,-6.284772,3
12.88,20,104,1.22,0.74,1.42,1.42,-13.49069,3
12.81,24,98,1.09,0.66,1.36,1.36,-52.041398,3
12.7,21.5,106,1.2,0.78,1.29,1.29,-27.206194,3
12.51,17.5,85,0.58,0.75,1.51,1.51,-70.442559,3
12.6,18.5,94,0.66,0.73,1.58,1.58,-50.072009,3
12.25,21,89,0.47,0.75,1.27,1.27,-280.55505,3
12.53,25,96,0.6,0.82,1.69,1.69,-146.587072,3
13.49,19.5,88,0.48,0.81,1.82,1.82,-97.726823,3
12.84,24,101,0.6,0.89,2.15,2.15,-70.299436,3
12.93,21,96,0.5,0.77,2.31,2.31,-60.15405,3
13.36,20,89,0.5,0.7,2.47,2.47,-46.27402,3
13.52,23.5,97,0.52,0.89,2.06,2.06,-103.967899,3
13.62,20,92,0.8,0.91,2.05,2.05,-19.620652,3
12.25,18.5,112,0.78,0.65,2,2,-11.629933,3
13.16,21,102,0.55,0.6,1.68,1.68,-93.784191,3
13.88,20,80,0.34,0.58,1.33,1.33,-475.733808,3
12.87,21.5,86,0.65,0.54,1.86,1.86,-66.731368,3
13.32,21.5,92,0.76,0.55,1.62,1.62,-58.494024,3
13.08,21.5,113,1.39,0.57,1.33,1.33,-13.223808,3
13.5,24,123,1.57,0.59,1.3,1.3,-14.070041,3
12.79,22,112,1.36,0.48,1.47,1.47,-11.476883,3
13.11,25.5,116,1.28,0.61,1.33,1.33,-36.821847,3
13.23,18.5,98,0.83,0.56,1.51,1.51,-28.461925,3
12.58,20,103,0.58,0.58,1.55,1.55,-84.102211,3
13.17,22,93,0.63,0.6,1.48,1.48,-119.12842,3
13.84,19.5,89,0.83,0.57,1.64,1.64,-31.694518,3
12.45,27,97,0.58,0.67,1.73,1.73,-189.764692,3
14.34,25,98,1.31,0.57,1.96,1.96,-10.414617,3
13.48,22.5,89,1.1,0.57,1.78,1.78,-20.473523,3
12.36,21,88,0.92,0.56,1.58,1.58,-38.006427,3
13.69,20,107,0.56,0.96,1.82,1.82,-59.245946,3
12.85,22,106,0.6,0.87,2.11,2.11,-50.695061,3
12.96,18.5,106,0.7,0.68,1.75,1.75,-27.524955,3
13.78,22,90,0.68,0.7,1.68,1.68,-77.574454,3
13.73,22.5,88,0.47,0.78,1.75,1.75,-178.384404,3
13.45,23,111,0.92,0.85,1.56,1.56,-40.615197,3
12.82,19.5,88,0.66,0.72,1.75,1.75,-51.062192,3
13.58,24.5,105,0.84,0.74,1.8,1.8,-48.424003,3
13.4,25,112,0.96,0.67,1.92,1.92,-28.333606,3
12.2,19,96,0.49,0.66,1.83,1.83,-77.317733,3
12.77,19.5,86,0.51,0.57,1.63,1.63,-112.564153,3
14.16,20,91,0.7,0.62,1.71,1.71,-47.81646,3
13.71,20.5,95,0.61,0.64,1.74,1.74,-67.427022,3
13.4,23,102,0.75,0.7,1.56,1.56,-74.438808,3
13.27,20,120,0.69,0.59,1.56,1.56,-44.858875,3
13.17,20,120,0.68,0.6,1.62,1.62,-42.366487,3
14.13,24.5,96,0.76,0.61,1.6,1.6,-90.080027,3
